Aerospace,Autos,Basic Materials,Business Services,Conglomerates,Computer Tech,Consumer Discretionary,Consumer Staples,Construction,Finance,Industrial Products,Medical,Oils Energy,Retail Wholesale,Transportation,Utilities,,,Urgent,Watchlist,Badlist
,,,,,VJET,,,,PRU,,SIGI,,,,,,,,,
,,,,,VMW,,,,PSA,,SILK,,,,,,,,,
,,,,,VNET,,,,PSB,,SLDB,,,,,,,,,
,,,,,VOD,,,,PSEC,,SLF,,,,,,,,,
,,,,,VOXX,,,,PTMN,,SMMT,,,,,,,,,
,,,,,VPG,,,,PTVCB,,SNDL,,,,,,,,,
,,,,,VRNS,,,,PUK,,SNDX,,,,,,,,,
,,,,,VRNT,,,,PZN,,SNN,,,,,,,,,
,,,,,VRSK,,,,QCRH,,SNSS,,,,,,,,,
,,,,,VRSN,,,,QD,,SNY,,,,,,,,,
,,,,,VRTU,,,,QTS,,SPNE,,,,,,,,,
,,,,,VSAT,,,,RBCAA,,SPPI,,,,,,,,,
,,,,,VSH,,,,RBS,,SPRO,,,,,,,,,
,,,,,VUZI,,,,RC,,SRDX,,,,,,,,,
,,,,,WAT,,,,RCM,,SRNE,,,,,,,,,
,,,,,WB,,,,RDFN,,SRPT,,,,,,,,,
,,,,,WCC,,,,RDN,,STAA,,,,,,,,,
,,,,,WDAY,,,,RE,,STC,,,,,,,,,
,,,,,WDC,,,,REG,,STE,,,,,,,,,
,,,,,WIFI,,,,RESI,,STFC,,,,,,,,,
,,,,,WIT,,,,REXR,,STML,,,,,,,,,
,,,,,WIX,,,,RF,,STOK,,,,,,,,,
,,,,,WK,,,,RFL,,STXS,,,,,,,,,
,,,,,WTS,,,,RGA,,SUPN,,,,,,,,,
,,,,,WUBA,,,,RHP,,SVRA,,,,,,,,,
,,,,,WWD,,,,RJF,,SWAV,,,,,,,,,
,,,,,XLNX,,,,RLGY,,SY,,,,,,,,,
,,,,,XNET,,,,RLH,,SYBX,,,,,,,,,
,,,,,XRX,,,,RLI,,SYK,,,,,,,,,
,,,,,YELP,,,,RLJ,,SYNH,,,,,,,,,
,,,,,YEXT,,,,RM,,SYRS,,,,,,,,,
,,,,,YNDX,,,,RMAX,,TAK,,,,,,,,,
,,,,,YRD,,,,RNR,,TARO,,,,,,,,,
,,,,,YY,,,,RNST,,TBIO,,,,,,,,,
,,,,,ZAGG,,,,ROIC,,TBPH,,,,,,,,,
,,,,,ZAYO,,,,ROL,,TCDA,,,,,,,,,
,,,,,ZEN,,,,RPAI,,TCMD,,,,,,,,,
,,,,,ZG,,,,RPT,,TCPC,,,,,,,,,
,,,,,ZIXI,,,,RRR,,TCRR,,,,,,,,,
,,,,,ZM,,,,RVSB,,TDOC,,,,,,,,,
,,,,,ZNGA,,,,RWT,,TECH,,,,,,,,,
,,,,,ZS,,,,RY,,TEVA,,,,,,,,,
,,,,,ZUO,,,,RYN,,TFX,,,,,,,,,
,,,,,,,,,SAFE,,TGTX,,,,,,,,,
,,,,,,,,,SAFT,,THC,,,,,,,,,
,,,,,,,,,SAN,,THG,,,,,,,,,
,,,,,,,,,SASR,,TLRY,,,,,,,,,
,,,,,,,,,SBAC,,TMO,,,,,,,,,
,,,,,,,,,SBCF,,TNDM,,,,,,,,,
,,,,,,,,,SBNY,,TOCA,,,,,,,,,
,,,,,,,,,SBRA,,TORC,,,,,,,,,
,,,,,,,,,SBSI,,TPRE,,,,,,,,,
,,,,,,,,,SC,,TPTX,,,,,,,,,
,,,,,,,,,SCHW,,TRHC,,,,,,,,,
,,,,,,,,,SCM,,TRIL,,,,,,,,,
,,,,,,,,,SCU,,TRUP,,,,,,,,,
,,,,,,,,,SE,,TRV,,,,,,,,,
,,,,,,,,,SEIC,,TRXC,,,,,,,,,
,,,,,,,,,SERV,,TVTY,,,,,,,,,
,,,,,,,,,SF,,TWST,,,,,,,,,
,,,,,,,,,SFBS,,TXMD,,,,,,,,,
,,,,,,,,,SFE,,TYME,,,,,,,,,
,,,,,,,,,SFNC,,UBX,,,,,,,,,
,,,,,,,,,SHO,,UFCS,,,,,,,,,
,,,,,,,,,SIEB,,UHS,,,,,,,,,
,,,,,,,,,SIGI,,UIHC,,,,,,,,,
,,,,,,,,,SITC,,UNH,,,,,,,,,
,,,,,,,,,SIVB,,UNM,,,,,,,,,
,,,,,,,,,SKT,,URGN,,,,,,,,,
,,,,,,,,,SLF,,USNA,,,,,,,,,
,,,,,,,,,SLG,,USPH,,,,,,,,,
,,,,,,,,,SLM,,UTHR,,,,,,,,,
,,,,,,,,,SLRC,,UVE,,,,,,,,,
,,,,,,,,,SMFG,,VAR,,,,,,,,,
,,,,,,,,,SNR,,VBIV,,,,,,,,,
,,,,,,,,,SNV,,VBLT,,,,,,,,,
,,,,,,,,,SPG,,VCEL,,,,,,,,,
,,,,,,,,,SRC,,VCYT,,,,,,,,,
,,,,,,,,,SRCE,,VERU,,,,,,,,,
,,,,,,,,,SRG,,VIVO,,,,,,,,,
,,,,,,,,,SSB,,VKTX,,,,,,,,,
,,,,,,,,,SSSS,,VNDA,,,,,,,,,
,,,,,,,,,STAG,,VNRX,,,,,,,,,
,,,,,,,,,STAR,,VOYA,,,,,,,,,
,,,,,,,,,STAY,,VRAY,,,,,,,,,
,,,,,,,,,STBA,,VREX,,,,,,,,,
,,,,,,,,,STC,,VRTX,,,,,,,,,
,,,,,,,,,STFC,,VSTM,,,,,,,,,
,,,,,,,,,STL,,VVUS,,,,,,,,,
,,,,,,,,,STOR,,VYGR,,,,,,,,,
,,,,,,,,,STT,,WBA,,,,,,,,,
,,,,,,,,,STWD,,WLTW,,,,,,,,,
,,,,,,,,,SUI,,WMGI,,,,,,,,,
,,,,,,,,,SUNS,,WRB,,,,,,,,,
,,,,,,,,,SUPV,,WST,,,,,,,,,
,,,,,,,,,SVC,,WVE,,,,,,,,,
,,,,,,,,,SVVC,,XBIT,,,,,,,,,
,,,,,,,,,SYF,,XENE,,,,,,,,,
,,,,,,,,,TBBK,,XENT,,,,,,,,,
,,,,,,,,,TBK,,XERS,,,,,,,,,
,,,,,,,,,TBNK,,XLRN,,,,,,,,,
,,,,,,,,,TCBI,,XNCR,,,,,,,,,
,,,,,,,,,TCBK,,XRAY,,,,,,,,,
,,,,,,,,,TCF,,Y,,,,,,,,,
,,,,,,,,,TCO,,ZBH,,,,,,,,,
,,,,,,,,,TCPC,,ZFGN,,,,,,,,,
,,,,,,,,,TCRD,,ZGNX,,,,,,,,,
,,,,,,,,,TD,,ZIOP,,,,,,,,,
,,,,,,,,,TFC,,ZLAB,,,,,,,,,
,,,,,,,,,TFSL,,ZTS,,,,,,,,,
,,,,,,,,,THFF,,ZYME,,,,,,,,,
,,,,,,,,,THG,,ZYNE,,,,,,,,,
,,,,,,,,,TMP,,ZYXI,,,,,,,,,
,,,,,,,,,TOWN,,,,,,,,,,,
,,,,,,,,,TPRE,,,,,,,,,,,
,,,,,,,,,TPVG,,,,,,,,,,,
,,,,,,,,,TRC,,,,,,,,,,,
,,,,,,,,,TREE,,,,,,,,,,,
,,,,,,,,,TRMK,,,,,,,,,,,
,,,,,,,,,TRNO,,,,,,,,,,,
,,,,,,,,,TROW,,,,,,,,,,,
,,,,,,,,,TRST,,,,,,,,,,,
,,,,,,,,,TRTX,,,,,,,,,,,
,,,,,,,,,TRUP,,,,,,,,,,,
,,,,,,,,,TRV,,,,,,,,,,,
,,,,,,,,,TRWH,,,,,,,,,,,
,,,,,,,,,TSLX,,,,,,,,,,,
,,,,,,,,,TURN,,,,,,,,,,,
,,,,,,,,,TW,,,,,,,,,,,
,,,,,,,,,TWO,,,,,,,,,,,
,,,,,,,,,UBA,,,,,,,,,,,
,,,,,,,,,UBS,,,,,,,,,,,
,,,,,,,,,UBSI,,,,,,,,,,,
,,,,,,,,,UCBI,,,,,,,,,,,
,,,,,,,,,UDR,,,,,,,,,,,
,,,,,,,,,UE,,,,,,,,,,,
,,,,,,,,,UEPS,,,,,,,,,,,
,,,,,,,,,UFCS,,,,,,,,,,,
,,,,,,,,,UHT,,,,,,,,,,,
,,,,,,,,,UIHC,,,,,,,,,,,
,,,,,,,,,UMBF,,,,,,,,,,,
,,,,,,,,,UMH,,,,,,,,,,,
,,,,,,,,,UMPQ,,,,,,,,,,,
,,,,,,,,,UNIT,,,,,,,,,,,
,,,,,,,,,UNM,,,,,,,,,,,
,,,,,,,,,USB,,,,,,,,,,,
,,,,,,,,,UVE,,,,,,,,,,,
,,,,,,,,,UVSP,,,,,,,,,,,
,,,,,,,,,VAC,,,,,,,,,,,
,,,,,,,,,VBTX,,,,,,,,,,,
,,,,,,,,,VER,,,,,,,,,,,
,,,,,,,,,VICI,,,,,,,,,,,
,,,,,,,,,VIRT,,,,,,,,,,,
,,,,,,,,,VLY,,,,,,,,,,,
,,,,,,,,,VNO,,,,,,,,,,,
,,,,,,,,,VOYA,,,,,,,,,,,
,,,,,,,,,VTR,,,,,,,,,,,
,,,,,,,,,WABC,,,,,,,,,,,
,,,,,,,,,WAFD,,,,,,,,,,,
,,,,,,,,,WAL,,,,,,,,,,,
,,,,,,,,,WASH,,,,,,,,,,,
,,,,,,,,,WBS,,,,,,,,,,,
,,,,,,,,,WD,,,,,,,,,,,
,,,,,,,,,WDR,,,,,,,,,,,
,,,,,,,,,WELL,,,,,,,,,,,
,,,,,,,,,WETF,,,,,,,,,,,
,,,,,,,,,WFC,,,,,,,,,,,
,,,,,,,,,WH,,,,,,,,,,,
,,,,,,,,,WHG,,,,,,,,,,,
,,,,,,,,,WLTW,,,,,,,,,,,
,,,,,,,,,WMC,,,,,,,,,,,
,,,,,,,,,WNEB,,,,,,,,,,,
,,,,,,,,,WPC,,,,,,,,,,,
,,,,,,,,,WPG,,,,,,,,,,,
,,,,,,,,,WRB,,,,,,,,,,,
,,,,,,,,,WRE,,,,,,,,,,,
,,,,,,,,,WRI,,,,,,,,,,,
,,,,,,,,,WRLD,,,,,,,,,,,
,,,,,,,,,WSBC,,,,,,,,,,,
,,,,,,,,,WSBF,,,,,,,,,,,
,,,,,,,,,WSFS,,,,,,,,,,,
,,,,,,,,,WSR,,,,,,,,,,,
,,,,,,,,,WTBA,,,,,,,,,,,
,,,,,,,,,WTFC,,,,,,,,,,,
,,,,,,,,,WY,,,,,,,,,,,
,,,,,,,,,WYND,,,,,,,,,,,
,,,,,,,,,WYNN,,,,,,,,,,,
,,,,,,,,,XAN,,,,,,,,,,,
,,,,,,,,,XHR,,,,,,,,,,,
,,,,,,,,,XIN,,,,,,,,,,,
,,,,,,,,,XRF,,,,,,,,,,,
,,,,,,,,,Y,,,,,,,,,,,
,,,,,,,,,YRD,,,,,,,,,,,
,,,,,,,,,Z,,,,,,,,,,,
,,,,,,,,,ZION,,,,,,,,,,,
